Question	MouseClick (previous location)	MouseClick (new location)	MouseClick(ms)	MousePress(ms)	MouseRelease(ms)
Q8Timer	0	0	1556604951529	1556604951451	1556604951529
Q8Timer	530	361	1556605216015	1556605215937	1556605216015
Q8Timer	363	210	1556605219672	1556605219578	1556605219672
Q8Timer	212	280	1556605222720	1556605222626	1556605222720
Q8Timer	282	536	1556605225064	1556605224939	1556605225064
Q8Timer	541	541	1556605229908	1556605229220	1556605229330
Q8Timer	541	369	1556605232658	1556605229830	1556605229908
Q8Timer	367	365	1556605234924	1556605232580	1556605232658
