Question	MouseClick (previous location)	MouseClick (new location)	MouseClick(ms)	MousePress(ms)	MouseRelease(ms)
Q6	0	0	1556602951977	1556602951805	1556602951977
Q6	164	52	1556604612427	1556604612302	1556604612427
Q6	52	69	1556604626920	1556604626826	1556604626920
Q6	69	63	1556604627154	1556604627029	1556604627154
Q6	68	64	1556604634483	1556604634436	1556604634483
Q6	64	63	1556604634811	1556604634702	1556604634811
Q6	63	63	1556604638155	1556604638015	1556604638155
Q6	65	64	1556604643671	1556604643546	1556604643671
Q6	64	63	1556604643875	1556604643781	1556604643875
